y X_1 X_2 X_3 X_4 X_5 X_6 X_7 X_8
1 1 -1.947 -1.561 0.545 -1.207 -0.825 -0.185 -0.586
0 1 -0.184 0.636 1.464 0.667 1.393 -0.161 -0.547
1 1 1.603 -1.536 -3.234 1.164 -0.778 0.384 -2.457
1 1 0.568 0.491 0.416 0.79 1.188 0.125 0.655
1 1 -0.331 -2.008 -1.449 -1.33 0.545 -0.209 0.154
1 1 1.218 0.31 1.342 -0.78 -2.296 1.042 -0.033
1 1 0.773 -1.631 -0.07 0.676 -0.643 -0.907 -0.851
1 1 -0.44 0.158 -1.022 0.12 -0.207 0.351 1.148
0 1 0.861 0.934 -0.631 0.3 0.019 -0.982 -0.989
1 1 -0.242 -1.352 -1.885 -1.29 -0.711 1.224 -1.344
1 1 -0.128 -0.297 -0.585 1.113 0.742 0.514 1.143
0 1 1.205 0.659 0.45 -0.121 0.502 -1.032 0.508
0 1 -0.969 1.991 -1.105 0.695 0.616 -1.189 -1.1
1 1 1.524 0.425 -0.962 1.863 0.662 -1.059 -0.351
0 1 0.552 2.332 0.825 -2.65 -0.311 0.541 -1.652
0 1 -0.551 -0.133 -0.96 -1.488 1.341 -0.387 -1.113
1 1 1.607 -0.04 1.707 0.202 -0.537 1.362 1.189
1 1 -0.103 0.702 0.144 0.21 1.306 0.578 -0.649
1 1 1.568 -0.519 -0.741 0.241 0.824 0.89 0.433
1 1 1.175 0.236 1.062 -0.2 0.3 -0.535 -0.822
0 1 -0.305 -0.179 -1.032 -0.205 2.765 -0.149 0.965
1 1 1.312 0.013 0.079 -1.627 2.443 0.582 0.438
1 1 -0.588 -0.265 -0.02 0.159 -0.542 -0.037 0.017
0 1 -1.143 -0.28 -0.252 -0.72 -0.953 -1.048 0.1
0 1 1.173 0.398 -0.017 -0.02 1.624 -1.185 0.46
0 1 -0.879 0.472 2.516 1.321 -0.822 -1.837 -1.487
1 1 1.833 -0.01 0.068 0.715 -0.693 0.583 1.084
0 1 -0.189 -0.161 -2.727 -0.806 -0.725 -0.184 1.203
1 1 0.925 0.412 0.313 1.015 1.481 0.877 2.032
1 1 -0.976 -1.198 -0.067 0.427 -0.466 -1.08 -0.438
1 1 0.308 -0.475 0.866 0.862 0.447 0.585 -0.851
1 1 -0.485 -0.637 -2.039 -1.093 0.287 -0.625 0.345
0 1 -0.771 1.325 0.857 -1.496 0.822 -1.084 0.713
0 1 -0.863 0.392 -0.88 -0.363 -1.022 0.303 -0.046
1 1 0.725 0.754 -0.131 1.009 -1.655 -0.56 -1.219
1 1 1.306 -0.515 1.631 1.616 0.978 -1.225 0.853
0 1 -0.729 1.168 -0.994 -0.202 -0.025 0.39 1.668
0 1 0.064 1.288 -1.172 -0.697 0.801 1.544 -0.938
1 1 -1.143 0.805 -0.647 2.201 1.054 -0.122 0.822
0 1 -0.771 1.476 -0.481 -0.265 0.763 -1.356 -1.576
1 1 0.543 -1.221 -0.683 2.467 0.446 0.768 -1.502
1 1 2.285 0.495 0.336 -0.427 -0.136 1.697 0.143
0 1 0.783 1.064 -1.323 0.362 -1.376 0.607 0.719
0 1 1.206 0.822 1.719 0.772 1.321 1.123 0.113
1 1 -0.015 -0.831 -0.432 -0.795 0.853 0.959 0.959
0 1 -0.812 1.301 1.031 0.201 -0.22 0.544 1.191
1 1 2.932 -0.087 0.81 -1.624 -0.285 0.73 1.187
1 1 0.157 -1.117 -0.834 1.108 1.796 -0.869 0.034
0 1 -0.07 1.027 -0.164 -0.215 -0.756 1.189 0.633
1 1 -0.862 -0.846 -1.01 -0.012 -0.389 1.283 -0.24
0 1 0.419 0.279 -1.606 -1.17 0.479 -0.674 0.564
0 1 -0.605 0.47 0.429 -0.299 -0.318 -0.091 -0.869
0 1 -0.025 0.305 0.792 0.27 -1.337 -0.199 -1.382
1 1 -0.196 -1.456 1.968 -0.075 -1.038 -0.307 -1.211
0 1 1.53 0.506 -0.307 0.736 -1.427 -0.926 0.313
0 1 -0.397 0.635 0.219 0.259 0.424 -0.37 -0.866
1 1 0.222 0.696 0.527 0.497 -0.291 1.117 -0.013
1 1 -0.253 -0.545 -0.421 -0.204 -0.638 -0.201 -0.21
1 1 -0.434 -0.658 -0.388 0.206 1.219 0.001 -0.105
1 1 -1.067 -2.463 -1.448 -0.879 -0.623 0.516 -0.226
1 1 -0.786 -1.26 -1.734 0.386 0.09 -1.781 -0.801
1 1 -1.719 -0.103 0.997 -0.054 1.485 0.435 -0.682
1 1 -1.205 0.301 -0.269 1.092 -1.296 0.286 0.713
1 1 0.676 0.446 1.132 0.774 -0.643 0.72 0.26
1 1 -0.644 -0.079 -0.402 1.924 1.507 -0.229 -1.546
1 1 -0.846 0.6 -1.212 0.903 -0.178 -0.432 0.244
0 1 -0.074 0.647 0.058 -0.194 -0.766 0.195 0.15
0 1 1.521 0.434 0.701 -0.787 2.371 -0.575 -1.973
1 1 0.054 0.289 1.656 0.902 -0.106 -0.709 1.078
0 1 0.148 -0.268 -0.676 -0.822 -1.057 -0.787 -0.835
1 1 -1.087 -0.459 1.017 0.767 -0.987 0.339 0.658
0 1 -0.445 -0.257 -1.801 -1.684 -0.236 -0.598 -1.814
0 1 0.791 1.038 -0.028 -0.076 0.659 0.668 -0.912
1 1 -0.849 -0.436 0.685 1.054 0.762 -1.245 0.755
0 1 -1.211 -0.476 1.119 -0.536 0.105 -1.476 1.545
1 1 0.637 -0.554 -0.27 -0.17 -1.23 -1.407 2.126
0 1 0.4 1.657 -0.219 -0.102 -0.981 -0.903 -0.585
0 1 -1.021 1.091 0.886 -0.484 0.72 1.349 -1.563
1 1 -0.313 0.807 -0.339 0.364 2.095 1.047 -0.653
0 1 0.284 1.695 -0.166 -1.922 -0.219 0.285 0.036
1 1 -2.379 -0.233 0.627 -0.229 -0.557 -0.146 -1.782
0 1 1.31 1.902 -0.365 1.405 -0.682 -0.216 1.378
